Symbol,avg_daily_percentage_change
XPD,1873.765826134461
RC,1282.5879201284636
CME,1209.5394701570842
AKY,1008.1434452203697
GAIN,657.0364745165999
NTRN,598.7730368343962
DFS,510.12188764907137
VLTC,395.7618401780947
STAK,330.655417207813
CALC,278.3525046911805
ERY,270.9112260847455
BTW,264.66272294262586
ICOB,242.7341954536253
STN,234.4761204862471
REE,229.113943986361
TTC,216.7084226399404
PRN,208.27586497588797
OPC,180.59965876304437
SBC,174.07897062322832
CRX,171.13942100850062
BLAZR,167.12774331417074
XRY,165.2227804618778
COUPE,157.41895263244402
EMB,152.45737489466046
RUP,148.38466128210726
LEA,137.12798201660442
GCN,102.564103520836
HIGH,100.9776895175988
SNRG,98.1148023719751
GB,98.01780455793741
RBT,95.31521286779193
CMPCO,95.2530137385444
NYC,92.4242019562792
XBC,85.52462067074595
NOBL,84.04122741069159
CREA,82.17562137435064
PND,80.45669178394154
BDL,73.03139227909531
UNIT,70.15229196156562
ZNY,69.81101666205953
XGOX,67.93609585135673
CJ,66.7707508283923
SPRTS,61.789875559888536
XHV,59.75307371572454
NMS,58.726680385200694
PIRL,54.98282116353999
BSR,53.68696450765286
SHND,53.16326811857357
SUMO,49.69836213026674
ZOI,49.57748544688753
$PAC,49.09039682221895
ANC,44.731369752671206
SAGA,42.629733455457234
MAX,42.17498029300959
PKB,41.171234556547866
ERC,39.708762188262064
VRM,38.79848883219065
GAM,37.534144183505546
COLX,37.27148730457988
PHR,36.61694536046637
GCC,36.088992855873286
LCC,36.065884416136576
SIC,35.463718171948514
POSW,35.249243913143715
ADC,35.02475506469544
BTA,34.91076091030604
ZER,34.4375872709457
ASN,33.78434610692086
BRX,33.6898964666345
MLM,33.40416562880874
CURE,32.77099521238907
2GIVE,32.383531826630396
DIME,31.913134929233106
ECA,31.756943199923104
XSTC,31.750420658316234
FAIR,31.452047092277827
HUC,31.206193652018356
EGC,31.013268287151003
XVP,30.37737059725391
EFL,30.33503167217949
BLITZ,29.544194465247493
TRUST,29.35350178178039
TAG,28.98525291655478
GBG,28.049341314956877
FLASH,28.043528229012754
CHC,27.937867852603322
RBY,27.807216226644744
BIS,27.801724115783056
BRK,27.751580603214112
GLD,27.518401899394632
ZBC,27.478565245580622
EDRC,26.943273355663454
EXP,25.672445862413532
THS,25.644029490282325
SUPER,25.556550728448524
HXX,25.316409742900888
RVN,24.5938407127527
ZET,24.57696298917072
XLR,24.089593160030255
BTM,24.06830183515082
KB3,24.009386844251154
TIPS,23.52940861766545
PTC,23.38904374639941
DMD,23.127043563105364
HUSH,22.829509712760675
XMG,22.64774113953416
SRC,21.952365068393338
BTCD,21.936782113923357
NOTE,21.89544348115835
PCN,21.63711045109676
AUR,21.441235992973876
MOON,21.376067469467184
SEQ,21.134783919442878
VTR,21.03611930145958
ETHD,20.668030339877276
SIGT,20.659261981484054
C2,20.32008589780299
MINT,20.25958237531669
BWK,19.637036668693543
ABY,19.382604333603485
ESP,19.255763009447225
XSH,19.177566713675294
SEND,18.636833217464115
CRYPT,18.40824962815381
ENRG,17.95914622493954
DGC,17.836554005773344
BYC,17.156262587136066
URO,16.837786261410557
LINDA,16.256928284779434
XMY,16.2076332993888
ULA,15.62930132022014
XPY,15.243509497595516
PROC,15.241046333709383
XMO,15.18805203082017
NVC,15.029013546693113
NEOS,15.001292955792557
KORE,14.339254851822583
DBIX,14.305568542692372
MNX,14.275781296827287
OCC,14.234445380137734
DOPE,14.232632291162375
INFX,13.551010311501969
XVC,13.440478477280939
CANN,13.223392281597128
QRK,12.571203990144141
ONION,12.25170435344553
FLO,12.048078046308218
TCC,11.98076189949153
WDC,11.929306004213492
ECC,11.824176181669907
ODN,11.651762431492488
XBY,11.407458756182237
BSD,11.321492558539537
SLR,11.097821797756378
LMC,10.36517162854868
BASH,10.276480734590367
MEC,10.121904839126302
LUX,9.910953507733478
SYNX,9.842980969150938
START,9.819777598679027
XSPEC,9.501962498539182
XCN,9.35801949254257
SMART,9.236893138641483
HTML,9.184943866238033
XP,8.748138872757755
AEON,8.531763430285565
HBC,8.215248696247695
GRC,8.191188676431947
TX,8.131788088981624
BBR,7.828764524514845
RIC,7.73063708260065
CPC,7.7220435518612085
GCR,7.717045566283657
PINK,7.679264019965697
FIL,7.598753419519497
BITS,7.595762907180682
UNB,7.578242271942847
CRW,7.535595351598983
KST,7.475745123154969
THC,7.295283810120146
IOC,7.016767255813781
MEME,6.746032101579706
SPR,6.573512260450929
ZCL,6.572478212130935
PASC,6.517115834878259
XPM,6.4880478413206335
MUSIC,6.429171434249136
W3C,6.3059372701334615
EXCL,6.172765713514963
SLS,6.059179167482556
BITB,6.040063324229461
XWC,5.957766740337436
SDC,5.897635551443839
BLOCK,5.875592111844915
VIDZ,5.357760985233787
IFC,5.323658443730162
SIB,5.302193740408336
IOP,5.174223015734107
TPAY,5.048214515909301
VRC,5.005253068750746
POT,4.999335309138485
OMNI,4.967151097785895
EBST,4.922260956730287
BTCP,4.895273186679549
BURST,4.78834124056409
RADS,4.684867225802686
SHIFT,4.6141313165121165
CLUB,4.500041023280489
ION,4.3643361356440895
RDD,4.292054333973273
BLK,4.28637551145795
MUE,4.233310229643168
OK,4.163566363343829
NMC,3.9779387748469217
FTC,3.894911557497689
ADK,3.8764257928392505
XEL,3.8141851205995576
RVR,3.763961639143421
BOST,3.7518557460481743
BCN,3.684486472881167
CLOAK,3.6841620488956575
EMC,3.6710023926487247
RISE,3.6019851031895525
GRS,3.568475001649378
XIN,3.488239287965358
UBQ,3.4615450539678756
SPHR,3.387407404942463
XCP,3.296542748068396
NAV,3.289011715126193
EMC2,3.1256600903781546
REC,2.979769640298323
PPC,2.970726130038964
SKY,2.91902588127026
XVG,2.8588421826787798
BAY,2.8249954452363633
PART,2.789932732483459
CLAM,2.6956349049514423
XDN,2.654416906690399
VTC,2.6487541910715073
PURA,2.621363686102885
NXS,2.588711181352125
ZEN,2.559867893354977
EDR,2.44560611874833
NANO,2.430010892481095
XMC,2.400484598088964
WC,2.321362350560947
DGB,2.246072530887017
NLG,2.127141943761976
NEO,2.116405354160763
DCR,2.1018513247381727
XLM,2.0719131599028904
BTS,2.0595495971580413
MONA,2.0019689900715734
ETP,1.9605664556163254
LBC,1.95097951649639
MNTP,1.9417534907683012
HWC,1.9238056644592019
STEEM,1.8846959910228107
DYN,1.8833991524811398
SBD,1.8812320053408909
VIA,1.8801839153174307
SC,1.8541432608962924
ADA,1.8376130595409388
XAS,1.8204531280209528
PPY,1.7675314371030983
NXT,1.7467669091704245
NEBL,1.67148344824101
DOGE,1.6664941213889508
SYS,1.6628978444648488
PIVX,1.6510476189710888
FCT,1.6505646512613683
XEM,1.58164456884557
XZC,1.4804490922959117
ARK,1.4004512053454747
KMD,1.3685397339595842
HT,1.3561600669951188
XRP,1.3443533317568874
B2X,1.3439786054397476
LSK,1.2822801580197822
STRAT,1.2646211295375767
BCC,1.257272593915462
DASH,1.1927344554034434
ETC,1.159332111644155
ETN,1.1588079566065914
ATMC,1.081952235701986
GAME,1.0755473159118722
XMR,1.0440526202506637
ETH,1.0146954432547473
BCD,1.004574851812147
DCT,0.9988101613930002
LKK,0.9691428377799349
ARDR,0.9279244749229301
WICC,0.9090078434752877
BCH,0.8960345482573551
SBTC,0.8463579135843418
QTUM,0.8268789201559653
MIOTA,0.7963571574277621
GBYTE,0.647146377574384
FRST,0.5899366423041162
WAVES,0.5822284834008329
WAN,0.5505005467157853
BTX,0.5078211071203591
FRGC,0.47825894528877827
DMC,0.4765956278561092
HSR,0.4708518947447359
ELA,0.4704461509894371
ZEC,0.4378242456073146
USNBT,0.3866404973141357
GXS,0.3662274911210294
CNX,0.3652388850021031
LEO,0.2760224799463292
GOLOS,0.2731729722463667
LTC,0.2661577229409661
XTZ,0.2618358221987973
BTC,0.21108271498344597
VIPS,0.11338270874634626
OC,0.10324260326526177
ACT,0.011449785583119909
POA,-0.0025965218699307182
CKUSD,-0.0447247358263365
ATB,-0.0607460901960623
BTG,-0.07277626633369234
OF,-0.15688498088755362
LET,-0.3549862467464686
BCX,-0.4146175998304227
SAK,-0.44046548765594007
TTT,-0.5355882418060819
CHAT,-0.561977180904844
PLAN,-1.5030148320852572
UNO,-1.66672436319562
BCO,-1.9347133280533373
UBTC,-1.9722803873307413
SIGMA,-2.325677768067949
BUZZ,-2.453652863981963
PIGGY,-2.498364419066033
BCA,-3.3531170586738197
DEV,-4.593458345334769
NLC2,-5.443041338643039
BOS,-7.946830097210631
MAGE,-8.519370935069798
CYDER,-8.882200426238125
BT2,-9.177325843938958
MSD,-10.635375833173235
EAG,-10.732980486312744
EBT,-11.733649357051185
DAV,-21.187644874686736
MZC,-32.6262730360332
DFT,-34.1626335390594
BTBc,-35.67836539377514
XHI,-51.45235154087469
CRDNC,-89.54324674518583
